# r_means, r_stds, t_means, t_sdts, benchmark
   0.00124,   0.00360,  66.75000,   0.00000,   0.00030
   0.00026,   0.00021,  74.94000,   0.00000,   0.00046
   0.00026,   0.00032,  49.13000,   0.00000,   0.02480
   0.01420,   0.01625,  62.60000,   0.00000,   0.00031
   0.14581,   0.11437, 130.02000,   0.00000,   0.00031
   0.26144,   0.15996, 203.33000,   0.00000,   0.00031
   0.20689,   0.14727, 248.50000,   0.00000,   0.00031
   0.18463,   0.11024, 217.35000,   0.00000,   0.00031
   0.16100,   0.10260, 156.71000,   0.00000,   0.00057
   0.13763,   0.08446, 143.28000,   0.00000,   0.00049
   0.13534,   0.09339, 141.20000,   0.00000,   0.00042
   0.12924,   0.09953, 142.97000,   0.00000,   0.00043
   0.15558,   0.11202, 144.42000,   0.00000,   0.00067
   0.13574,   0.11615, 136.46000,   0.00000,   0.00056
   0.15401,   0.10431, 147.83000,   0.00000,   0.00083
   0.13367,   0.11558, 132.32000,   0.00000,   0.00078
   0.14251,   0.10147, 136.06000,   0.00000,   0.25955
   0.10963,   0.12064, 107.89000,   0.00000,   0.00064
   0.13293,   0.13121, 119.90000,   0.00000,   0.13628
   0.14158,   0.11047, 121.84000,   0.00000,   0.00014
   0.09179,   0.09929, 100.43000,   0.00000,   0.11749
   0.11336,   0.09009, 102.94000,   0.00000,   0.09897
   0.09137,   0.09218,  86.82000,   0.00000,   0.31151
   0.11109,   0.07492,  91.30000,   0.00000,   0.15097
   0.11349,   0.09222,  93.99000,   0.00000,   0.30580
   0.09906,   0.07721,  87.51000,   0.00000,   0.32198
   0.08459,   0.07746,  87.23000,   0.00000,   0.10566
   0.10049,   0.08347,  85.63000,   0.00000,   0.11401
   0.11317,   0.09116,  91.10000,   0.00000,   0.08056
   0.09429,   0.07715,  79.39000,   0.00000,   0.04757
   0.09997,   0.08532,  80.51000,   0.00000,   0.04711
   0.07344,   0.07289,  72.48000,   0.00000,   0.14294
   0.10050,   0.07352,  87.65000,   0.00000,   0.04000
   0.07911,   0.07885,  76.71000,   0.00000,   0.00009
   0.07258,   0.07589,  74.50000,   0.00000,   0.00004
   0.07087,   0.06961,  70.27000,   0.00000,   0.00004
   0.06831,   0.07318,  69.94000,   0.00000,   0.00004
   0.07498,   0.08301,  73.43000,   0.00000,   0.00003
   0.07170,   0.07868,  70.70000,   0.00000,   0.00004
   0.06311,   0.07719,  64.28000,   0.00000,   0.00004
   0.05079,   0.07101,  60.05000,   0.00000,   0.00004
   0.05536,   0.06968,  61.66000,   0.00000,   0.13180
   0.05807,   0.07229,  75.16000,   0.00000,   0.00004
   0.05596,   0.07109,  68.28000,   0.00000,   0.00003
   0.06412,   0.07296,  73.08000,   0.00000,   0.00004
   0.04552,   0.06119,  58.89000,   0.00000,   0.00003
   0.05044,   0.05919,  61.65000,   0.00000,   0.00004
   0.05682,   0.06404,  64.67000,   0.00000,   0.00004
   0.05011,   0.06728,  56.08000,   0.00000,   0.00004
   0.04137,   0.05750,  51.99000,   0.00000,   0.00004
   0.05034,   0.06755,  57.54000,   0.00000,   0.00017
   0.05093,   0.05939,  60.22000,   0.00000,   0.05702
   0.05562,   0.06638,  69.91000,   0.00000,   0.06641
   0.05663,   0.08498,  63.52000,   0.00000,   0.00033
   0.08662,   0.08568,  75.27000,   0.00000,   0.00033
   0.06628,   0.07468,  64.08000,   0.00000,   0.21856
   0.07671,   0.08367,  75.10000,   0.00000,   0.00004
   0.06005,   0.07340,  60.29000,   0.00000,   0.00014
   0.10056,   0.09067,  85.32000,   0.00000,   0.00076
   0.09736,   0.09382,  84.91000,   0.00000,   0.22117
   0.09116,   0.08612,  89.32000,   0.00000,   0.00004
   0.08544,   0.09227,  78.61000,   0.00000,   0.07843
   0.09130,   0.07938,  85.99000,   0.00000,   0.00004
   0.07681,   0.09019,  70.23000,   0.00000,   0.07157
   0.08395,   0.08669,  85.93000,   0.00000,   0.00004
   0.07069,   0.09077,  73.44000,   0.00000,   0.00004
   0.05940,   0.08898,  63.95000,   0.00000,   0.00004
   0.06548,   0.08915,  69.78000,   0.00000,   0.00004
   0.08641,   0.11357,  73.29000,   0.00000,   0.09219
   0.09462,   0.11221,  76.46000,   0.00000,   0.00193
   0.11096,   0.11299,  88.15000,   0.00000,   0.00004
   0.08278,   0.09407,  73.44000,   0.00000,   0.00004
   0.08747,   0.13246,  77.62000,   0.00000,   0.00003
