0,-4.890561,-4.890561,-4.890561,30.0,30.0,30.0
1,-4.8945613,-4.8945613,-4.8945613,30.0,30.0,30.0
2,-4.892592,-4.892592,-4.892592,30.0,30.0,30.0
3,-4.889215,-4.889215,-4.889215,30.0,30.0,30.0
4,-4.8921227,-4.8921227,-4.8921227,30.0,30.0,30.0
5,-4.8924103,-4.8924103,-4.8924103,30.0,30.0,30.0
6,-4.89189,-4.89189,-4.89189,30.0,30.0,30.0
7,-4.890917,-4.890917,-4.890917,30.0,30.0,30.0
8,-4.888561,-4.888561,-4.888561,30.0,30.0,30.0
9,-4.889618,-4.889618,-4.889618,30.0,30.0,30.0
10,-4.892414,-4.892414,-4.892414,30.0,30.0,30.0
11,-4.8911085,-4.8911085,-4.8911085,30.0,30.0,30.0
12,-4.892997,-4.892997,-4.892997,30.0,30.0,30.0
13,-4.8935294,-4.8935294,-4.8935294,30.0,30.0,30.0
14,-4.8920646,-4.8920646,-4.8920646,30.0,30.0,30.0
15,-4.8924937,-4.8924937,-4.8924937,30.0,30.0,30.0
16,-4.890936,-4.890936,-4.890936,30.0,30.0,30.0
17,-4.892322,-4.892322,-4.892322,30.0,30.0,30.0
18,-4.893153,-4.893153,-4.893153,30.0,30.0,30.0
19,-4.892132,-4.892132,-4.892132,30.0,30.0,30.0
20,-4.8894057,-4.8894057,-4.8894057,30.0,30.0,30.0
21,-4.88705,-4.88705,-4.88705,30.0,30.0,30.0
22,-4.8826947,-4.8826947,-4.8826947,30.0,30.0,30.0
23,-4.8920407,-4.8920407,-4.8920407,30.0,30.0,30.0
24,-4.890591,-4.890591,-4.890591,30.0,30.0,30.0
25,-4.891297,-4.891297,-4.891297,30.0,30.0,30.0
26,-4.89154,-4.89154,-4.89154,30.0,30.0,30.0
27,-4.8918214,-4.8918214,-4.8918214,30.0,30.0,30.0
28,-4.892483,-4.892483,-4.892483,30.0,30.0,30.0
29,-4.8923206,-4.8923206,-4.8923206,30.0,30.0,30.0
30,-4.8934565,-4.8934565,-4.8934565,30.0,30.0,30.0
31,-4.8922834,-4.8922834,-4.8922834,30.0,30.0,30.0
32,-4.893229,-4.893229,-4.893229,30.0,30.0,30.0
33,-4.890462,-4.890462,-4.890462,30.0,30.0,30.0
34,-4.89237,-4.89237,-4.89237,30.0,30.0,30.0
